"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2023","146.50","150.00","150.00","145.75","431.47K","-2.17%"
"03/10/2023","149.75","151.25","154.00","149.00","264.36K","-1.32%"
"03/09/2023","151.75","152.00","155.00","150.25","156.64K","0.00%"
"03/08/2023","151.75","150.00","158.00","147.00","885.03K","1.17%"
"03/07/2023","150.00","163.00","163.00","147.00","2.42M","-8.81%"
"03/03/2023","164.50","174.00","174.00","164.50","1.25M","-6.00%"
"03/02/2023","175.00","177.00","179.00","174.00","268.99K","-0.71%"
"03/01/2023","176.25","178.75","180.00","176.25","287.86K","-0.70%"
"02/28/2023","177.50","181.00","182.00","177.25","543.11K","-1.39%"
"02/27/2023","180.00","177.75","183.75","176.00","999.48K","1.98%"
"02/24/2023","176.50","177.75","178.00","174.50","265.24K","0.00%"
"02/23/2023","176.50","173.00","178.00","170.25","208.13K","2.47%"
"02/22/2023","172.25","176.50","179.00","172.25","389.42K","-2.41%"
"02/21/2023","176.50","175.50","177.50","173.00","213.06K","-0.84%"
"02/20/2023","178.00","174.00","179.75","174.00","128.57K","1.71%"
"02/17/2023","175.00","178.50","179.75","174.00","250.91K","-1.96%"
"02/16/2023","178.50","180.50","182.25","175.00","832.28K","0.28%"
"02/15/2023","178.00","174.25","178.75","171.00","744.73K","1.86%"
"02/14/2023","174.75","178.00","178.00","169.75","817.57K","-0.57%"
"02/13/2023","175.75","185.50","185.50","175.00","803.69K","-5.26%"
"02/10/2023","185.50","184.75","187.25","182.75","310.71K","0.54%"
"02/09/2023","184.50","187.00","189.00","183.75","549.14K","-1.86%"
"02/08/2023","188.00","189.00","190.00","187.00","382.17K","-1.05%"
"02/07/2023","190.00","194.00","194.00","189.00","664.46K","-2.19%"
"02/06/2023","194.25","191.50","195.50","191.00","1.49M","1.30%"
"02/03/2023","191.75","190.50","193.00","190.00","921.64K","0.66%"
"02/02/2023","190.50","195.75","196.00","190.00","355.74K","-1.80%"
"02/01/2023","194.00","185.50","196.00","185.00","806.51K","4.30%"
"01/31/2023","186.00","184.50","188.00","183.00","308.30K","0.40%"
"01/30/2023","185.25","177.00","186.75","171.00","1.40M","-2.76%"
"01/27/2023","190.50","188.00","196.75","185.25","1.46M","0.40%"
"01/26/2023","189.75","191.25","191.25","185.00","289.84K","-1.17%"
"01/25/2023","192.00","196.00","196.50","189.00","574.94K","-2.04%"
"01/24/2023","196.00","198.50","199.50","193.50","412.17K","-1.26%"
"01/23/2023","198.50","200.00","204.00","197.00","558.52K","-0.25%"
